current_model,action,next_model,count,total_from_state_action,transition_probability
M3,a_mitig,M2,45149,90005,0.5016
M3,a_mitig,M3,44856,90005,0.4984
M1,a_next,M2,36748,143078,0.2568
M1,a_next,M1,36422,143078,0.2546
M1,a_mitig,M1,35241,35241,1.0
M1,a_next,M4,35183,143078,0.2459
M1,a_next,M3,34725,143078,0.2427
M2,a_mitig,M2,33407,99873,0.3345
M2,a_mitig,M3,33300,99873,0.3334
M2,a_mitig,M1,33166,99873,0.3321
M2,a_mitig,M2,28740,84901,0.3385
M2,a_mitig,M1,28175,84901,0.3319
M2,a_mitig,M3,27986,84901,0.3296
M3,a_mitig,M2,19938,39474,0.5051
M3,a_mitig,M3,19536,39474,0.4949
M1,a_eval,M2,18437,36422,0.5062
M1,a_eval,M1,17985,36422,0.4938
M1,a_eval,M2,16746,53270,0.3144
M1,a_eval,M1,16716,53270,0.3138
M1,a_eval,M1,16610,33166,0.5008
M1,a_eval,M2,16556,33166,0.4992
M2,a_reject,Reject_M2_c,16224,29102,0.5575
M4,a_mitig,M2,13902,27786,0.5003
M4,a_mitig,M4,13884,27786,0.4997
M3,a_reject,Reject_M3_d,11874,21043,0.5643
M2,a_reject,Reject_M2_c,11732,21204,0.5533
M3,a_reject,Reject_M3_d,11446,20491,0.5586
M1,a_eval,M2,9951,53270,0.1868
M1,a_eval,M1,9857,53270,0.185
M1,a_mitig,M1,8814,8814,1.0
M3,a_reject,Reject_M3_c,8759,21043,0.4162
M3,a_reject,Reject_M3_c,8636,20491,0.4215
M2,a_reject,Reject_M2_b,8440,29102,0.29
M4,a_mitig,M2,7374,14707,0.5014
M4,a_mitig,M4,7333,14707,0.4986
M1,a_reject,Reject_M1_b,7293,11553,0.6313
M4,a_eval,M4,7121,21281,0.3346
M4,a_eval,M2,7084,21281,0.3329
M4,a_eval,M3,7076,21281,0.3325
M1,a_mitig,M1,6873,6873,1.0
M1,a_eval,M2,6411,12655,0.5066
M2,a_reject,Reject_M2_b,6370,21204,0.3004
M1,a_eval,M1,6244,12655,0.4934
M2,a_reject,Reject_M2_c,6107,11147,0.5479
M1,a_eval,M1,4844,11082,0.4371
M1,a_eval,M2,4790,11082,0.4322
M2,a_mitig,M3,4614,13809,0.3341
M2,a_mitig,M2,4608,13809,0.3337
M2,a_mitig,M1,4587,13809,0.3322
M1,a_reject,Reject_M1_b,4400,6889,0.6387
M2,a_reject,Reject_M2_d,3812,29102,0.131
M3,a_reject,Reject_M3_d,3343,5968,0.5602
M2,a_reject,Reject_M2_b,3335,11147,0.2992
M4,a_reject,Reject_M4_d,3309,3756,0.881
M1,a_reject,Reject_M1_b,3269,5138,0.6362
M1,a_reject,Reject_M1_a,3191,11553,0.2762
M2,a_eval,M4,2968,13455,0.2206
M2,a_eval,M2,2949,13455,0.2192
M2,a_eval,M3,2906,13455,0.216
M2,a_eval,M2,2766,8129,0.3403
M2,a_eval,M3,2694,8129,0.3314
M2,a_reject,Reject_M2_d,2678,21204,0.1263
M2,a_eval,M4,2669,8129,0.3283
M3,a_reject,Reject_M3_c,2500,5968,0.4189
M3,a_mitig,M3,2107,4212,0.5002
M3,a_mitig,M2,2105,4212,0.4998
M1,a_accept,Accept_M1_a,1961,2895,0.6774
M1,a_reject,Reject_M1_a,1858,6889,0.2697
M1,a_mitig,M1,1797,1797,1.0
M2,a_eval,M3,1571,13455,0.1168
M4,a_reject,Reject_M4_d,1553,1757,0.8839
M2,a_eval,M2,1533,13455,0.1139
M2,a_eval,M4,1528,13455,0.1136
M2,a_reject,Reject_M2_d,1466,11147,0.1315
M1,a_reject,Reject_M1_a,1412,5138,0.2748
M2,a_eval,M3,1147,3336,0.3438
M2,a_eval,M2,1098,3336,0.3291
M2,a_eval,M4,1091,3336,0.327
M1,a_reject,Reject_M1_c,1056,11553,0.0914
M1,a_accept,Accept_M1_b,908,2895,0.3136
M1,a_accept,Accept_M1_a,904,1342,0.6736
M4,a_mitig,M4,888,1741,0.5101
M4,a_eval,M4,870,3701,0.2351
M4,a_eval,M2,860,3701,0.2324
M4,a_mitig,M2,853,1741,0.4899
M4,a_eval,M3,847,3701,0.2289
M3,a_eval,M2,819,2385,0.3434
M3,a_eval,M4,798,2385,0.3346
M3,a_eval,M3,768,2385,0.322
M1,a_eval,M1,751,11082,0.0678
M1,a_eval,M2,697,11082,0.0629
M2,a_reject,Reject_M2_a,626,29102,0.0215
M1,a_reject,Reject_M1_c,626,6889,0.0909
