d,b,r,c,k,m,m_metrics,initial_model_type,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,total_reward,final_model_type,final_g,final_k,decision,terminal_subtype,decision_full
multimodal,categorisation,false,adequacy,start,insufficient,"[0.06, 0.944, 0.917, 0.785]",M4,"['0.004', '0.004', '0.016', '0.976']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.98|k=start] -> M2[ban0.50|k=start] -> M2[ban0.50|k=start] -> M3[hig0.72|k=start] -> M4[ban0.98|k=evidence] -> M4[min0.25|k=final],5,-84.81,M4,"['0.002', '0.002', '0.019', '0.977']",evidence,Reject,M4_d,Reject_M4_d
structured,none,false,inadequate_SCC,start,suboptimal,"[0.086, 0.914, 0.873, 0.89]",M3,"['0.205', '0.338', '0.374', '0.083']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.37|k=start] -> M2[lim0.36|k=start] -> M2[lim0.36|k=start] -> M3[hig0.47|k=start] -> M4[ban0.96|k=evidence] -> M4[min0.25|k=final],5,45.27,M4,"['0.001', '0.002', '0.040', '0.957']",evidence,Reject,M4_d,Reject_M4_d
unstructured_text,none,false,non_compliant,start,suboptimal,"[0.128, 0.884, 0.908, 0.901]",M3,"['0.129', '0.157', '0.637', '0.078']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M3[hig0.64|k=start] -> M3[hig0.64|k=start] -> M3[hig0.64|k=start] -> M3[hig0.64|k=start] -> M3[hig0.72|k=evidence] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],6,-90.62,M2,"['0.001', '0.009', '0.990', '0.000']",evidence,Reject,M2_d,Reject_M2_d
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.015, 0.703, 0.937, 0.972]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,-84.0,M3,"['0.002', '0.002', '0.988', '0.008']",start,Reject,M3_d,Reject_M3_d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.113, 0.709, 0.702, 0.921]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M2[hig0.79|k=evidence] -> M2[lim0.86|k=evidence] -> M2[min0.25|k=final],6,-60.4,M2,"['0.000', '0.857', '0.142', '0.001']",evidence,Reject,M2_d,Reject_M2_d
image,categorisation,false,inadequate_SCC,start,insufficient,"[0.166, 0.845, 0.892, 0.895]",M4,"['0.004', '0.007', '0.015', '0.975']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M4[ban0.98|k=start] -> M2[ban0.50|k=start] -> M3[hig0.67|k=start] -> M2[hig0.72|k=start] -> M2[lim0.79|k=evidence] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],6,-60.97,M3,"['0.000', '0.000', '0.999', '0.000']",evidence,Reject,M3_d,Reject_M3_d
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.027, 0.817, 0.881, 0.722]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.78|k=start] -> M3[hig0.87|k=start] -> M2[hig0.82|k=start] -> M3[hig0.89|k=start] -> M3[min0.25|k=final],4,46.0,M3,"['0.019', '0.045', '0.886', '0.050']",start,Reject,M3_d,Reject_M3_d
multimodal,verification,high-risk,adequacy,start,suboptimal,"[0.019, 0.838, 0.965, 0.941]",M2,"['0.014', '0.065', '0.914', '0.008']",start,a_mitig -> a_mitig -> a_mitig -> a_accept,M2[hig0.91|k=start] -> M2[hig0.91|k=start] -> M3[hig0.95|k=start] -> M2[hig0.93|k=start] -> M2[min0.25|k=final],4,56.0,M2,"['0.011', '0.051', '0.932', '0.006']",start,Accept,M2_b,Accept_M2_b
structured,none,false,EU_only,start,insufficient,"[0.157, 0.795, 0.717, 0.737]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M2[hig0.73|k=evidence] -> M4[ban0.95|k=evidence] -> M4[min0.25|k=final],6,39.45,M4,"['0.000', '0.000', '0.045', '0.954']",evidence,Reject,M4_d,Reject_M4_d
video,categorisation,false,inadequate_SCC,start,insufficient,"[0.136, 0.973, 0.768, 0.79]",M4,"['0.003', '0.005', '0.032', '0.960']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.96|k=start] -> M2[ban0.49|k=start] -> M2[ban0.49|k=start] -> M1[ban0.29|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,70.12,M2,"['0.000', '0.004', '0.996', '0.000']",evidence,Reject,M2_c,Reject_M2_c
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.195, 0.767, 0.768, 0.799]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,-84.0,M3,"['0.002', '0.003', '0.988', '0.007']",start,Reject,M3_d,Reject_M3_d
image,categorisation,false,EU_only,start,insufficient,"[0.163, 0.878, 0.789, 0.964]",M4,"['0.004', '0.004', '0.006', '0.986']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.99|k=start] -> M4[ban0.99|k=start] -> M2[ban0.51|k=start] -> M3[hig0.67|k=start] -> M2[hig0.98|k=evidence] -> M2[min0.25|k=final],5,-34.84,M2,"['0.000', '0.014', '0.984', '0.002']",evidence,Reject,M2_b,Reject_M2_b
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.149, 0.742, 0.723, 0.777]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M1[min0.78|k=evidence] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],6,-60.88,M2,"['0.001', '0.007', '0.993', '0.000']",evidence,Reject,M2_b,Reject_M2_b
unstructured_text,none,false,non_compliant,start,insufficient,"[0.115, 0.765, 0.926, 0.964]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.52|k=start] -> M3[hig0.52|k=start] -> M2[hig0.35|k=start] -> M3[hig0.44|k=start] -> M3[hig0.97|k=evidence] -> M3[min0.25|k=final],5,-84.77,M3,"['0.013', '0.002', '0.968', '0.016']",evidence,Reject,M3_d,Reject_M3_d
