current_state,action,next_state,count,total_from_state_action,transition_probability
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",a_mitig,"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",57908,57908,1.0
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",a_next,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",27750,84680,0.3277
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",25355,75377,0.3364
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",a_mitig,"d=structured,b=none,r=high-risk,c=EU_only,k=start,m=optimal,mt=M1",25141,75377,0.3335
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",24881,75377,0.3301
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",a_next,"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",23708,84680,0.28
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",22903,45715,0.501
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",22812,45715,0.499
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",a_reject,"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",20852,28009,0.7445
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",a_next,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=start,m=insufficient,mt=M4",19837,84680,0.2343
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=start,m=insufficient,mt=M4",a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",17325,34560,0.5013
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=start,m=insufficient,mt=M4",a_mitig,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=start,m=insufficient,mt=M4",17235,34560,0.4987
"d=structured,b=none,r=high-risk,c=EU_only,k=start,m=optimal,mt=M1",a_mitig,"d=structured,b=none,r=high-risk,c=EU_only,k=start,m=optimal,mt=M1",15097,15097,1.0
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",a_next,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",13385,84680,0.1581
"d=structured,b=none,r=high-risk,c=EU_only,k=start,m=optimal,mt=M1",a_eval,"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",12671,25141,0.504
"d=structured,b=none,r=high-risk,c=EU_only,k=start,m=optimal,mt=M1",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",12470,25141,0.496
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",a_eval,"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",11964,23708,0.5046
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",11744,23708,0.4954
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",a_reject,"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",8044,11047,0.7282
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",a_mitig,"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",7797,7797,1.0
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",a_reject,"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",7589,9659,0.7857
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",a_reject,"d=structured,b=none,r=false,c=EU_only,k=final,m=optimal,mt=M1",7157,28009,0.2555
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",6792,17521,0.3876
