current_state,action,next_state,count,probability
M4,a_mitig,M2,540,0.5336
M4,a_mitig,M4,472,0.4664
M2,a_mitig,M2,1108,0.3387
M2,a_mitig,M3,1072,0.3277
M2,a_mitig,M1,1091,0.3335
M3,a_eval,M4,125,0.3644
M3,a_eval,M3,125,0.3644
M3,a_eval,M2,93,0.2711
M4,a_reject,M4,352,1.0
M3,a_mitig,M2,1480,0.5017
M3,a_mitig,M3,1470,0.4983
M2,a_reject,M2,1465,1.0
M3,a_reject,M3,871,1.0
M1,a_mitig,M1,1767,1.0
M1,a_eval,M2,1014,0.5116
M1,a_eval,M1,968,0.4884
M2,a_eval,M2,267,0.3436
M2,a_eval,M3,260,0.3346
M2,a_eval,M4,250,0.3218
M2,a_accept,M2,16,1.0
M1,a_accept,M1,251,1.0
M4,a_eval,M3,40,0.3279
M4,a_eval,M2,40,0.3279
M4,a_eval,M4,42,0.3443
M1,a_reject,M1,45,1.0
