current_state,action,next_state,count,probability
M4,a_mitig,M2,6565,0.4992
M4,a_mitig,M4,6586,0.5008
M2,a_mitig,M2,7605,0.331
M2,a_mitig,M3,7738,0.3368
M2,a_mitig,M1,7630,0.3321
M2,a_eval,M2,1647,0.3223
M2,a_eval,M4,1763,0.345
M2,a_eval,M3,1700,0.3327
M4,a_reject,M4,2309,1.0
M3,a_mitig,M3,9614,0.5004
M3,a_mitig,M2,9597,0.4996
M3,a_eval,M2,636,0.33
M3,a_eval,M4,659,0.342
M3,a_eval,M3,632,0.328
M3,a_reject,M3,6597,1.0
M1,a_mitig,M1,34665,1.0
M1,a_eval,M1,12836,0.5009
M1,a_eval,M2,12791,0.4991
M1,a_reject,M1,1013,1.0
M4,a_eval,M3,512,0.3318
M4,a_eval,M4,484,0.3137
M4,a_eval,M2,547,0.3545
M2,a_reject,M2,16865,1.0
M1,a_accept,M1,3038,1.0
M2,a_accept,M2,178,1.0
