current_state,current_model,action,next_state,next_model,count,total_from_state_action,transition_probability
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",M1,a_mitig,"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",M1,57467,57467,1.0
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",M1,a_next,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,27742,84642,0.3278
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",M3,25127,75251,0.3339
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,a_mitig,"d=structured,b=none,r=high-risk,c=EU_only,k=start,m=optimal,mt=M1",M1,25096,75251,0.3335
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,25028,75251,0.3326
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",M1,a_next,"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",M1,23631,84642,0.2792
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",M3,a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",M3,23043,46018,0.5007
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",M3,a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,22975,46018,0.4993
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",M1,a_next,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=start,m=insufficient,mt=M4",M4,19811,84642,0.2341
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=start,m=insufficient,mt=M4",M4,a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,17375,34603,0.5021
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=start,m=insufficient,mt=M4",M4,a_mitig,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=start,m=insufficient,mt=M4",M4,17228,34603,0.4979
"d=structured,b=none,r=high-risk,c=EU_only,k=start,m=optimal,mt=M1",M1,a_mitig,"d=structured,b=none,r=high-risk,c=EU_only,k=start,m=optimal,mt=M1",M1,15175,15175,1.0
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_reject,Reject_M2_c,Reject_M2_c,15171,27757,0.5466
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",M1,a_next,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",M3,13458,84642,0.159
"d=structured,b=none,r=high-risk,c=EU_only,k=start,m=optimal,mt=M1",M1,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,12709,25096,0.5064
"d=structured,b=none,r=high-risk,c=EU_only,k=start,m=optimal,mt=M1",M1,a_eval,"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",M1,12387,25096,0.4936
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",M1,a_eval,"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",M1,11877,23631,0.5026
"d=structured,b=none,r=false,c=EU_only,k=start,m=optimal,mt=M1",M1,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,11754,23631,0.4974
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_reject,Reject_M2_b,Reject_M2_b,8292,27757,0.2987
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_mitig,"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",M1,7547,7547,1.0
"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_mitig,"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",M1,6734,6734,1.0
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_eval,"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",M1,6655,17299,0.3847
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,6637,17299,0.3837
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",M3,a_reject,Reject_M3_d,Reject_M3_d,6150,11257,0.5463
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,a_reject,Reject_M2_c,Reject_M2_c,5148,9507,0.5415
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=start,m=suboptimal,mt=M3",M3,a_reject,Reject_M3_c,Reject_M3_c,4876,11257,0.4332
"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_accept,Accept_M1_a,Accept_M1_a,4695,6755,0.695
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",M3,a_reject,Reject_M3_d,Reject_M3_d,4331,7846,0.552
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_reject,Reject_M2_d,Reject_M2_d,3728,27757,0.1343
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",M3,a_reject,Reject_M3_c,Reject_M3_c,3357,7846,0.4279
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",M4,a_reject,Reject_M4_d,Reject_M4_d,3296,3750,0.8789
"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_eval,"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",M1,3278,7517,0.4361
"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,3197,7517,0.4253
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_mitig,"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",M1,3175,9482,0.3348
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",M3,3172,9482,0.3345
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_mitig,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,3135,9482,0.3306
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,a_reject,Reject_M2_b,Reject_M2_b,2902,9507,0.3052
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_accept,Accept_M1_a,Accept_M1_a,2488,3584,0.6942
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_eval,"d=structured,b=none,r=high-risk,c=EU_only,k=proposed,m=optimal,mt=M1",M1,2052,17299,0.1186
"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_accept,Accept_M1_b,Accept_M1_b,2007,6755,0.2971
"d=structured,b=none,r=high-risk,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",M2,1955,17299,0.113
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",M2,a_reject,Reject_M2_c,Reject_M2_c,1811,3317,0.546
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",M3,1784,5218,0.3419
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,a_eval,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",M4,1734,5218,0.3323
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,a_accept,Accept_M2_b,Accept_M2_b,1723,3144,0.548
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=start,m=suboptimal,mt=M2",M2,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,1700,5218,0.3258
