current_state,action,next_state,count,probability
M4,a_mitig,M4,5179,0.4938
M4,a_mitig,M2,5310,0.5062
M4,a_reject,M4,3481,1.0
M3,a_mitig,M3,14877,0.4996
M3,a_mitig,M2,14900,0.5004
M2,a_eval,M2,2571,0.3337
M2,a_eval,M4,2523,0.3275
M2,a_eval,M3,2610,0.3388
M2,a_reject,M2,14599,1.0
M2,a_mitig,M2,10778,0.3338
M2,a_mitig,M1,10696,0.3312
M2,a_mitig,M3,10817,0.335
M1,a_eval,M1,9888,0.4978
M1,a_eval,M2,9976,0.5022
M1,a_accept,M1,2573,1.0
M3,a_reject,M3,8848,1.0
M1,a_mitig,M1,17443,1.0
M1,a_reject,M1,421,1.0
M3,a_eval,M4,1012,0.3306
M3,a_eval,M3,1086,0.3548
M3,a_eval,M2,963,0.3146
M4,a_eval,M3,377,0.32
M4,a_eval,M4,401,0.3404
M4,a_eval,M2,400,0.3396
M2,a_accept,M2,78,1.0
