current_state,action,next_state,count,probability
M4,a_reject,Reject_M4_d,28003,0.8393
M4,a_reject,Reject_M4_b,417,0.0125
M4,a_reject,Reject_M4_c,4936,0.1479
M4,a_reject,Reject_M4_a,9,0.0003
M1,a_accept,Accept_M1_a,2347,0.6491
M1,a_accept,Accept_M1_b,1085,0.3001
M1,a_accept,Accept_M1_c,177,0.0489
M1,a_accept,Accept_M1_d,7,0.0019
M1,a_eval,M1,7643,0.4982
M1,a_eval,M2,7698,0.5018
M2,a_eval,M3,13696,0.3337
M2,a_eval,M2,13741,0.3348
M2,a_eval,M4,13609,0.3316
M3,a_eval,M2,11786,0.3333
M3,a_eval,M3,11825,0.3344
M3,a_eval,M4,11753,0.3323
M4,a_eval,M4,536,0.3256
M4,a_eval,M3,538,0.3269
M4,a_eval,M2,572,0.3475
M2,a_accept,Accept_M2_b,66,0.4231
M2,a_accept,Accept_M2_a,40,0.2564
M2,a_accept,Accept_M2_c,46,0.2949
M2,a_accept,Accept_M2_d,4,0.0256
M4,a_mitig,M4,193,0.4673
M4,a_mitig,M2,220,0.5327
M3,a_accept,Accept_M3_d,35,0.2011
M3,a_accept,Accept_M3_c,79,0.454
M3,a_accept,Accept_M3_b,58,0.3333
M3,a_accept,Accept_M3_a,2,0.0115
M1,a_reject,Reject_M1_b,118,0.4574
M1,a_reject,Reject_M1_a,87,0.3372
M1,a_reject,Reject_M1_c,47,0.1822
M1,a_reject,Reject_M1_d,6,0.0233
M4,a_accept,Accept_M4_d,2,1.0
