current_state,action,next_state,count,probability
M4,a_reject,Reject_M4_d,24940,0.879
M4,a_reject,Reject_M4_c,3398,0.1198
M4,a_reject,Reject_M4_b,22,0.0008
M4,a_reject,Reject_M4_a,14,0.0005
M1,a_eval,M1,2589,0.5082
M1,a_eval,M2,2505,0.4918
M1,a_accept,Accept_M1_a,5903,0.6911
M1,a_accept,Accept_M1_b,2565,0.3003
M1,a_accept,Accept_M1_c,68,0.008
M1,a_accept,Accept_M1_d,5,0.0006
M2,a_eval,M3,10606,0.3297
M2,a_eval,M4,10745,0.334
M2,a_eval,M2,10815,0.3362
M3,a_eval,M4,10659,0.3369
M3,a_eval,M3,10420,0.3293
M3,a_eval,M2,10562,0.3338
M4,a_eval,M3,1193,0.3402
M4,a_eval,M4,1158,0.3302
M4,a_eval,M2,1156,0.3296
M1,a_mitig,M1,568,1.0
M2,a_accept,Accept_M2_b,39,0.52
M2,a_accept,Accept_M2_a,11,0.1467
M2,a_accept,Accept_M2_c,25,0.3333
M1,a_reject,Reject_M1_a,152,0.289
M1,a_reject,Reject_M1_b,328,0.6236
M1,a_reject,Reject_M1_c,46,0.0875
M3,a_accept,Accept_M3_b,4,0.0645
M3,a_accept,Accept_M3_c,48,0.7742
M3,a_accept,Accept_M3_d,10,0.1613
M4,a_mitig,M2,22,0.5116
M4,a_mitig,M4,21,0.4884
M2,a_mitig,M3,3,1.0
M3,a_mitig,M3,1,1.0
