d,b,r,c,k,m,m_metrics,initial_identified_model,actions_sequence,total_steps,final_state,total_reward
multimodal,categorisation,false,adequacy,start,insufficient,"[0.06, 0.944, 0.917, 0.785]",M4,a_accept,1,Reject,70.0
structured,none,false,inadequate_SCC,start,suboptimal,"[0.086, 0.914, 0.873, 0.89]",M3,a_accept,1,Accept_M3,-38.0
unstructured_text,none,false,non_compliant,start,suboptimal,"[0.128, 0.884, 0.908, 0.901]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,7,Reject,52.0
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.015, 0.703, 0.937, 0.972]",M3,a_eval -> a_eval -> a_eval -> a_accept,4,Reject,61.0
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.113, 0.709, 0.702, 0.921]",M3,a_accept,1,Accept_M3,-38.0
image,categorisation,false,inadequate_SCC,start,insufficient,"[0.166, 0.845, 0.892, 0.895]",M4,a_accept,1,Reject,70.0
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.027, 0.817, 0.881, 0.722]",M2,a_accept,1,Accept_M2,19.0
multimodal,verification,high-risk,adequacy,start,suboptimal,"[0.019, 0.838, 0.965, 0.941]",M2,a_accept,1,Accept_M2,19.0
structured,none,false,EU_only,start,insufficient,"[0.157, 0.795, 0.717, 0.737]",M1,a_accept,1,Accept_M1,53.0
structured,categorisation,false,inadequate_SCC,start,insufficient,"[0.136, 0.973, 0.768, 0.79]",M4,a_next -> a_accept,2,Reject,65.0
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.195, 0.767, 0.768, 0.799]",M3,a_accept,1,Accept_M3,-38.0
image,categorisation,false,EU_only,start,insufficient,"[0.163, 0.878, 0.789, 0.964]",M4,a_accept,1,Reject,70.0
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.149, 0.742, 0.723, 0.777]",M3,a_accept,1,Accept_M3,-38.0
unstructured_text,none,false,non_compliant,start,insufficient,"[0.115, 0.765, 0.926, 0.964]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_accept,8,Reject,49.0
