current_state,action,next_state,count,probability
M4,a_accept,Reject,19639,1.0
M3,a_accept,Accept_M3,10048,1.0
M3,a_eval,M3,37964,0.6989
M3,a_eval,M2,8247,0.1518
M3,a_eval,M4,8111,0.1493
M2,a_accept,Accept_M2,30481,1.0
M1,a_accept,Accept_M1,5817,1.0
M4,a_mitig,M2,88,0.2857
M4,a_mitig,M4,220,0.7143
M4,a_reject,s0,1659,1.0
s0,a_next,M3,651,0.3085
s0,a_next,M1,755,0.3578
s0,a_next,M2,704,0.3336
M4,a_eval,M4,1150,1.0
M3,a_reject,s0,451,0.9978
M3,a_reject,Review_Required,1,0.0022
M3,a_mitig,M3,3,0.3
M3,a_mitig,M2,7,0.7
