current_state,action,next_state,count,probability
M4,a_eval,M4,4456,1.0
M4,a_mitig,M4,28789,0.7052
M4,a_mitig,M2,12035,0.2948
M2,a_mitig,M2,142535,0.599
M2,a_mitig,M1,47691,0.2004
M2,a_mitig,M3,47742,0.2006
M1,a_accept,Accept_M1,52104,1.0
M3,a_eval,M3,1573,0.6982
M3,a_eval,M2,361,0.1602
M3,a_eval,M4,319,0.1416
M3,a_mitig,M2,72998,0.5004
M3,a_mitig,M3,72893,0.4996
M2,a_eval,M2,9271,0.7949
M2,a_eval,M4,1209,0.1037
M2,a_eval,M3,1183,0.1014
M4,a_accept,Reject,2759,1.0
M2,a_accept,Accept_M2,6488,1.0
M1,a_eval,M1,420,0.913
M1,a_eval,M2,40,0.087
