current_state,action,next_state,count,probability
M4,a_reject,Reject_M4_d,11507,0.2516
M4,a_reject,Reject_M4_a,11265,0.2463
M4,a_reject,Reject_M4_c,11478,0.251
M4,a_reject,Reject_M4_b,11487,0.2512
M3,a_mitig,M3,9353,0.494
M3,a_mitig,M2,9582,0.506
M3,a_eval,M4,16747,0.3341
M3,a_eval,M2,16777,0.3347
M3,a_eval,M3,16603,0.3312
M3,a_reject,Reject_M3_d,1260,0.2443
M3,a_reject,Reject_M3_c,1345,0.2608
M3,a_reject,Reject_M3_b,1275,0.2472
M3,a_reject,Reject_M3_a,1278,0.2478
M2,a_mitig,M1,5719,0.334
M2,a_mitig,M3,5729,0.3346
M2,a_mitig,M2,5675,0.3314
M1,a_accept,Accept_M1_d,2697,0.2502
M1,a_accept,Accept_M1_b,2704,0.2508
M1,a_accept,Accept_M1_a,2674,0.248
M1,a_accept,Accept_M1_c,2706,0.251
M1,a_mitig,M1,5062,1.0
M2,a_eval,M3,16321,0.3306
M2,a_eval,M2,16478,0.3338
M2,a_eval,M4,16567,0.3356
M2,a_reject,Reject_M2_b,1039,0.2425
M2,a_reject,Reject_M2_a,1117,0.2607
M2,a_reject,Reject_M2_c,1085,0.2533
M2,a_reject,Reject_M2_d,1043,0.2435
M4,a_mitig,M2,844,0.4997
M4,a_mitig,M4,845,0.5003
M4,a_eval,M4,399,1.0
M2,a_accept,Accept_M2_c,6,0.75
M2,a_accept,Accept_M2_d,1,0.125
M2,a_accept,Accept_M2_b,1,0.125
M3,a_accept,Accept_M3_a,3,0.4286
M3,a_accept,Accept_M3_d,3,0.4286
M3,a_accept,Accept_M3_b,1,0.1429
